listing_id,id,date,reviewer_id,reviewer_name,comments
The South End is a great,"central location in Boston.\"",,,,
5593888,40614644,2015-08-01,36589598,Dan,"Drew and Christina were perfect hosts. They provided us with very useful information about local transport, places to eat and drink etc. The room and the apartment were clean and tidy and we had full use of their facilities. We definitely recommend them."
5593888,43624054,2015-08-21,5796796,Barbara,"I had a great stay with Drew and Christina. They are both wonderful people, very helpful and it was nice to have a chat with them. They recommended lots of great places ( just to name flour bakery) and were very accommodating. The place is very comfy, clean, with everything you need and nicely situated in the south end with good connections to downtown and Cambridge. I highly recommend it!"
5593888,44465586,2015-08-26,40618068,Marie,"Amazing place ! Well located and lovely hosts : Drew and Christina had let us a note where they indicate the best restaurants, the bus stops, the Hubway station (free bikes), etc."
They both are very nice,"even if we didn't see them a lot. Special thanks to Drew for your lesson : How to tip properly !\"",,,,
5593888,45375562,2015-09-02,35723956,Benjamin,"We had a great time with Drew and Christina. They were very nice hosts. They were very accommodating and helpful. They gave a lot of informations about the south end. They also gave us a sheet of recommendations in the city, how to get around, and gave us earplugs to block sound from the street. The room was nice and clean as in the pictures!"
"We strongly recommend them!\"",,,,,
5593888,46516517,2015-09-11,41762544,Leslie,We had a very short stay in Boston at Drew and Christina's place as our flight was cancelled last minute. They were both easy to get in touch with and understanding about this sudden change. Our time there was great. This is a great location and we loved that we could walk everywhere. Everything was as described and they were both very nice. We got some great recommendations for places to eat and visited what we could in our short time!
"\"",,,,,
5593888,46935194,2015-09-14,42036365,Emily,The listing was accurate. Room was a little small but bed was comfortable. Neighborhood was quaint with typical Boston brownstone apartments & parks nearby.
5593888,47282551,2015-09-17,39116627,Lia,"Both Christina and Drew were there to welcome me at the apartment.  They gave me a few great tips about where to eat locally and how to get around Boston.  The room faces onto the main road and is therefore quite noisy but I was given ear plugs and slept very well.  The room itself is small but as I was only there to sleep, I really didn't mind. The apartment was clean and tidy.  Also an additional thoughtful touch - Drew also wrote out a list of places to eat in Portland, Maine, which was my next destination, which is was really lovely and useful."
5593888,48100256,2015-09-23,42407905,Marcel,"We had a great time at the apartment of Drew and Christina. We stayed 3 nights so the room was a bit small but there is a closet, providing some extra space. The room faces the busy Massachusetts Avenue, however we didn't think it was too noisy. The apartment itself is clean and tidy. Both Christina and Drew are very nice and left us helpful recommendations were to go to. Also they were very flexible about our arriving time."
5593888,49897449,2015-10-07,5358313,Zhaohua,"位置非常方便,房间虽不大但简洁干净,Drew & Christina是两个很热心的室友,尽心回答你的所有问题"
5593888,50296007,2015-10-11,13272650,Thierry,"My girlfriend and I stayed here four nights. First of all the location is perfect, most sightseeing sites were on fine walking distance from the appartment. Unfortunately the appartement is located at the side of the Mass. Ave, so please don't forget to bring your ear plugs! Additionally, mind that for a longer stay the room can be quite small. Further Drew and Christina, were good hosts and easy to communicate with."
